"date","market_excess","size","value","risk_free"
1926-07-01,0.0289,-0.0242,-0.0275,0.0022
1926-08-01,0.0264,-0.0144,0.0413,0.0025
1926-09-01,0.0038,-0.0136,5e-04,0.0023
1926-10-01,-0.0327,-0.0018,0.0078,0.0032
1926-11-01,0.0254,-0.0017,-0.0048,0.0031
1926-12-01,0.0262,-6e-04,0.001,0.0028
1927-01-01,-5e-04,-0.0047,0.0476,0.0025
1927-02-01,0.0417,-0.0023,0.0304,0.0026
1927-03-01,0.0014,-0.0201,-0.0232,0.003
1927-04-01,0.0047,0.0054,0.0062,0.0025
1927-05-01,0.0545,0.0149,0.0504,0.003
1927-06-01,-0.0238,0.0042,-0.0153,0.0026
1927-07-01,0.0726,-0.0327,-0.0113,0.003
1927-08-01,0.0199,-0.0077,-0.0385,0.0028
1927-09-01,0.0477,-0.036,-0.0057,0.0021
1927-10-01,-0.0429,0.0203,-0.0447,0.0025
1927-11-01,0.0652,0.0278,-8e-04,0.0021
1927-12-01,0.0209,0.0098,-0.0112,0.0022
1928-01-01,-0.0057,0.042,-0.0071,0.0025
1928-02-01,-0.0169,-0.0206,-0.0064,0.0033
1928-03-01,0.0879,-0.0038,-0.0111,0.0029
1928-04-01,0.0425,0.0414,0.0325,0.0022
1928-05-01,0.0152,0.027,-0.03,0.0032
1928-06-01,-0.049,-0.0376,0.0028,0.0031
1928-07-01,0.0063,-0.0136,-0.0054,0.0032
1928-08-01,0.0669,-0.0204,-0.0213,0.0032
1928-09-01,0.0287,0.024,0.0084,0.0027
1928-10-01,0.0131,0.0224,-0.0214,0.0041
1928-11-01,0.1182,-0.0182,0.0265,0.0038
1928-12-01,0.004,-0.0093,-0.0052,6e-04
1929-01-01,0.0466,-0.0335,-0.0122,0.0034
1929-02-01,-0.0034,-0.0033,0.0166,0.0036
1929-03-01,-0.0085,-0.0491,0.0157,0.0034
1929-04-01,0.0147,-0.0112,0.0093,0.0036
1929-05-01,-0.0638,-0.0544,-0.0152,0.0044
1929-06-01,0.097,-0.0214,-0.0274,0.0052
1929-07-01,0.0448,-0.0387,0.0267,0.0033
1929-08-01,0.0814,-0.0975,0.0032,0.004
1929-09-01,-0.0545,0.0134,-0.0079,0.0035
1929-10-01,-0.2007,-0.0495,0.0754,0.0046
1929-11-01,-0.1287,-0.0088,0.0505,0.0037
1929-12-01,0.0128,-0.041,-0.0014,0.0037
1930-01-01,0.0561,0.0349,-0.0103,0.0014
1930-02-01,0.025,0.0028,0.0028,0.003
1930-03-01,0.0709,0.0339,0.003,0.0035
1930-04-01,-0.0205,-0.0035,-0.0037,0.0021
1930-05-01,-0.0166,-0.021,-0.0074,0.0026
1930-06-01,-0.1608,-0.0359,0.024,0.0027
1930-07-01,0.0412,-0.0027,-0.017,0.002
1930-08-01,0.003,-0.0216,-0.0059,9e-04
1930-09-01,-0.1281,-0.0241,-0.0509,0.0022
1930-10-01,-0.0878,-0.002,-0.0109,9e-04
1930-11-01,-0.0304,0.0246,-0.0381,0.0013
1930-12-01,-0.0786,-0.0467,-0.0569,0.0014
1931-01-01,0.0625,0.0347,0.0824,0.0015
1931-02-01,0.1088,0.0345,0.0163,4e-04
1931-03-01,-0.0635,0.0283,-0.032,0.0013
1931-04-01,-0.1,-0.0422,-0.0433,8e-04
1931-05-01,-0.1329,0.0522,-0.0631,9e-04
1931-06-01,0.1393,-0.0501,0.117,8e-04
1931-07-01,-0.0663,0.0156,-0.023,6e-04
1931-08-01,0.004,-0.0205,-0.0176,3e-04
1931-09-01,-0.2874,-0.0108,-0.0713,3e-04
1931-10-01,0.0799,-0.0014,0.0288,0.001
1931-11-01,-0.0914,0.0441,-0.0521,0.0017
1931-12-01,-0.1352,-0.0075,-0.0939,0.0012
1932-01-01,-0.0157,0.0433,0.0986,0.0023
1932-02-01,0.0545,-0.026,-0.0132,0.0023
1932-03-01,-0.113,0.0221,-0.0233,0.0016
1932-04-01,-0.1794,0.0098,0.0198,0.0011
1932-05-01,-0.2051,0.0441,-0.0442,6e-04
1932-06-01,-0.0077,0.0027,0.0607,2e-04
1932-07-01,0.3361,-0.0429,0.3552,2e-04
1932-08-01,0.3712,0.1346,0.342,3e-04
1932-09-01,-0.0294,-0.0215,-0.0737,3e-04
1932-10-01,-0.1315,-0.0259,-0.1047,2e-04
1932-11-01,-0.0588,0.0183,-0.1319,2e-04
1932-12-01,0.0442,-0.083,-0.0754,1e-04
1933-01-01,0.0124,0.0073,0.0646,1e-04
1933-02-01,-0.1529,-0.0263,-0.0292,-3e-04
1933-03-01,0.0306,0.036,0.0709,4e-04
1933-04-01,0.3881,0.0302,0.201,0.001
1933-05-01,0.2143,0.3596,0.1866,4e-04
1933-06-01,0.131,0.0865,-0.0164,2e-04
1933-07-01,-0.0964,-0.0106,0.033,2e-04
